GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID	2vs0	4vs0	8vs0	10vs0	tt_dev$adj.P.Val	wt_0h_a	wt_0h_b	wt_0h_c	wt_2h_a	wt_2h_b	wt_2h_c	wt_4h_a	wt_4h_b	wt_4h_c	wt_8h_a	wt_8h_b	wt_8h_c	wt_10h_a	wt_10h_b	wt_10h_c
DDB_G0283153	cbpD1	CBP4a	calcium-binding protein	Q54RF4	 0.036669518083963	 1.31499709779	 5.1808688704	  5.66664213138	5.42392907768043e-08	   18.3948583	   17.4949759	   18.0717472	   22.5015033	   17.0007912	   19.6023298	   14.1637175	   15.3417615	   14.5640097	   12.9494052	   17.4504369	   15.9869692	   17.4445591	   20.4991931	   14.4482822
DDB_G0292014	psiK	NA	PA14 domain-containing protein	Q54DV5	-0.310045020421200	 0.96262790668	 6.6557339007	  7.39768275214	5.42392907768043e-08	  106.7980376	  108.9712166	  107.1933819	  106.2637982	  107.7015218	  101.5187481	   99.3455858	   95.2120114	   99.6845526	  101.8414785	   96.8300273	   99.6317631	   93.6772424	  105.5259530	   93.3219602
DDB_G0293202	trafH	DdTRAFh	TNF receptor-associated factor H	Q54C11	 3.451261550549737	 4.49507535995	 3.6358140680	  3.59224972319	5.42392907768043e-08	 1245.5267148	 1295.1284961	 1340.1122975	 1374.2353017	 1444.8495948	 1438.0289108	 1375.4885452	 1465.1619441	 1468.2378614	 1118.6959763	 1125.5547264	 1113.4991461	 1099.1943552	  839.4292109	 1148.8552803
DDB_G0291646	DDB_G0291646	NA	unknown	Q54EB9	 4.279327350513574	 5.50593816904	 4.8428943405	  5.05257420600	5.42392907768043e-08	  226.0946748	  261.7639523	  225.1458497	  224.8483255	  253.8219050	  295.6300350	  267.5052559	  256.2669998	  276.8070677	  237.4662203	  269.0526361	  235.6086895	  250.5427817	  166.1395080	  243.0042492
DDB_G0270518	DDB_G0270518	NA	unknown	Q55E15	-0.200756903228496	 2.09405629929	 5.1623063398	  4.98311852572	5.90547646769503e-08	   73.5399493	   66.9613043	   65.2080487	   69.7772114	   73.4225311	   71.0494307	   81.7580307	   74.0948518	   72.1146889	   90.0528600	   85.4175003	   76.4247170	   90.2735393	   93.1055718	   83.8307356
DDB_G0283645	DDB_G0283645	CBP12	calcium-binding protein, calcium-binding EF-hand domain-containing protein	Q54QU0	-0.134234604696632	-0.59992298716	 4.8615989541	  5.34242043202	7.53282326076909e-08	 1962.3417650	 2151.3500453	 2457.7900578	 1867.7634144	 2039.8897327	 2623.5628041	 2068.4413478	 2216.4792685	 2120.3484068	 2389.1107205	 2217.2200330	 2463.0704910	 2590.1773078	 2577.2608849	 2703.2546256
DDB_G0283305	DDB_G0283305	NA	ERV/ALR sulphydryl oxidase domain-containing protein	Q54R93	-0.005221009598138	 0.42269926594	 5.0485071140	  5.22913362467	8.03222410261613e-08	   25.3209317	   21.4459844	   42.4091043	   26.9643334	    9.3450261	   30.0953517	   21.6017107	   27.6238509	   25.6439855	   33.4064057	   23.6281936	   38.6090622	   30.9177500	   23.0397513	   42.1497824
DDB_G0285939	ctnnA	vinA, Dd-alpha-catenin	alpha-catenin related protein	Q54MH2	 2.033480010472239	 2.30198720285	 5.6297777274	  6.22880463747	1.52272096545983e-07	  150.0949099	  149.0770054	  162.1187292	  153.8657341	  166.3058873	  245.0999743	  181.5904843	  144.9455674	  179.9199040	  177.2524510	  165.8387538	  199.3879672	  160.6193871	  149.6821425	  176.7822352
DDB_G0285917	DDB_G0285917	NA	unknown	Q54MI7	-0.372255418768864	-0.19753948236	 4.2054569419	  5.72733622689	2.38223042866873e-07	  564.7558239	  494.7201943	  631.0053663	  726.0113280	  720.4928590	  736.8474983	  810.9497061	  885.9631898	  974.1670163	  514.7373562	  565.5766811	  729.8663904	  410.4654532	  599.6245724	  609.2666148
DDB_G0288745	DDB_G0288745	NA	unknown	Q1ZXD1	-0.601317183736535	 0.40827985794	 4.5528853175	  5.88970654526	2.55630972443723e-07	    2.9989847	    2.1757336	    2.6631858	    2.3690711	    2.4856044	   14.8571515	    4.6264233	    3.1603772	    2.9893377	    6.4329940	    4.5985056	    4.1947775	    5.3316575	    4.4772003	    6.1679431
DDB_G0288919	psiI	NA	PA14 domain-containing protein	Q54I92	-0.246125949075232	-0.00148719994	 4.4713594293	  5.27038773325	2.66414605707802e-07	   10.1037189	   30.5828804	   16.9688297	   14.0782530	   14.1368156	   14.2314000	   13.7924088	   10.9769660	   12.0556489	   27.1651685	   22.8513714	   26.2977329	   23.1039481	   23.7644486	   21.6956985
DDB_G0282381	gefC	RasGEF, racGEF	regulator of chromosome condensation (RCC1) domain-containing protein, RhoGEF domain-containing protein, Ras nucleotide exchange factor	Q8IS20	-0.038727724177733	 0.06345392279	 2.7020925314	  3.40078664907	2.66414605707802e-07	   14.6301303	   17.8503057	   17.9379438	   16.2608896	   22.2519213	   22.0081501	   15.5644344	   19.9249417	   16.6185913	   30.2794422	   30.7754099	   15.1350968	   28.1323797	   29.0093451	   27.6596856
DDB_G0282247	rapgapB	NA	RapA GTPase regulatory protein B	Q54SS8	-0.308607044968563	 0.10546058732	 4.1573759639	  4.80967669997	2.66414605707802e-07	  235.3976378	  214.3549528	  189.5460674	  183.3382050	  197.3343862	  202.8730322	  210.1438157	  178.4117504	  189.8812333	  223.7239994	  200.6145785	  210.9722220	  160.0892113	  259.4676595	  194.0404503
DDB_G0267398	gppA	P29F8, dajumin, GP100	glycoprotein gp100	Q06885	 0.088372532882304	-0.15896599280	 4.0162897719	  4.23083565243	3.42639897939614e-07	  207.4987134	  187.1785058	  179.6403767	  172.5980551	  178.6893256	  171.9446987	  165.0199677	  150.6969437	  142.9400538	  134.7186769	  137.1467067	  133.6071055	  112.1142951	  116.8775855	  131.9419865
DDB_G0289313	frmC	NA	FERM domain-containing protein FrmC	P0CD60	-0.010447099644705	-0.26082750045	-2.5241456510	 -2.68350599588	4.17941108592145e-07	  417.2026318	  383.2141027	  440.9421335	 1110.3640067	  507.4436533	  817.5951926	  620.9801101	  767.6328123	  497.8505967	  561.9582121	  590.6324536	  588.3133466	  753.8544756	  552.1768697	  543.1049948
DDB_G0284759	psiM	NA	PA14 domain-containing protein	Q54P69	-0.177579067449227	-0.66183203193	 4.8443513576	  5.56695501302	4.99412170555841e-07	    7.9956235	   68.2390054	   45.9472018	   52.7040051	   72.2009420	   74.0682089	   78.4414427	   62.1379694	   62.9043290	   68.4558671	    2.0076622	   40.7426503	    2.2037993	   58.6072160	   46.9169050
DDB_G0290371	DDB_G0290371	NA	transmembrane protein	Q54G71	 2.520921386492342	 3.88859594118	 4.5179377288	  3.31982210125	6.64951817764988e-07	   42.1469606	   48.4304984	   58.9997274	   54.5060411	   49.8201360	   53.2429116	   57.9789825	   52.7945176	   53.7571392	   43.5602862	   45.3345552	   45.8463289	   40.6148551	   55.9715539	   42.0644682
DDB_G0274099	cbpE	CBP5	calcium-binding protein	Q869S9	-0.029800818120028	 0.52465654605	 3.4646678780	  4.02873597645	9.5200289548954e-07	   69.6782990	   56.2658381	   84.4254058	  104.5897267	   64.3553359	   59.6792145	   85.8848556	   70.8871086	   67.3857774	   70.2405910	   51.1901843	   70.9657169	   42.6705591	   50.4638306	   58.8278519
DDB_G0272568	cofC-1	DCOF3, cofC	cofilin-2	Q966T6	 0.073485410594506	-0.07288007674	 4.2820227255	  4.46510070126	1.214526347096e-06	   37.7988342	   41.4361698	   32.5268799	   40.9149808	   38.7174244	   32.8697700	   46.2502697	   30.8688409	   33.8773817	   25.7851347	   25.8696076	   34.1201668	   26.4937580	   38.9845222	   24.7709213
DDB_G0288013	smcl	NA	smc-like protein	Q54JJ4	-0.540889210706737	 0.98427443094	 5.0256868801	  4.92983137739	1.255505196629e-06	   66.3185108	   65.5281881	   54.4003901	   63.9642854	   28.6440726	   60.3739408	   64.2291915	   54.6686776	   64.3568407	   49.6243716	   54.5667185	   59.6167761	   40.0303931	   61.3983527	   51.6520836
DDB_G0277083	uduD1	NA	N-terminal delta endotoxin domain-containing protein	C7G000	 0.252599508274069	 1.72562578224	 3.4195340669	  3.29998185893	1.3865368608638e-06	   76.5760052	   82.0048578	   79.5607268	   83.4415404	   76.5831958	  100.9721415	   71.6957954	   77.8658774	   82.8087274	   61.1277253	   82.2308472	   88.8868831	   60.1494268	   86.9636321	  157.2171663
DDB_G0292768	dcd1B	NA	acid ceramidase-like protein, acid N-acylsphingosine amidohydrolase-like protein	Q54CS6	-0.152727544014872	-0.81789251785	-3.0600039981	 -2.71601599581	1.43233623605219e-06	   58.1883233	   48.2015876	   60.7126336	  116.9963216	   56.9400711	   52.0175429	   67.0579036	   61.9953589	   48.0815128	   58.5195275	    3.4264438	   54.8061360	   61.3900059	   67.7745999	   52.5588088
DDB_G0278345	acly	NA	ATP citrate synthase, ATP citrate lyase	Q54YA0	-0.224483050034499	-0.51517641135	-1.1063905936	 -1.30241204323	1.77919890944541e-06	  612.6451212	  569.1770301	  586.9255408	  619.7242015	  661.4123064	  688.8014572	  653.9350568	  719.9054966	  702.6154257	  663.6422223	  729.4172695	  825.9615308	  607.4572710	  843.1658233	  801.8203629
DDB_G0275253	DDB_G0275253	NA	unknown	Q8T2U1	-0.063177146820191	 0.04431334141	 2.8341363498	  3.71246903207	1.8022969027498e-06	  109.3138838	  106.5103874	   98.0517512	  103.2195505	  100.5769939	  157.0968550	  110.8363115	  122.3062160	   99.9750440	  127.8824903	  119.7611752	  172.6914878	  138.3492372	  269.7682854	  179.3249005
DDB_G0276973	nramp1	NRAMP, Slc11a1	solute carrier family 11 member 1	Q869V1	-0.193946228741894	-0.83472202876	-3.6552947252	 -3.63217487939	1.8022969027498e-06	  119.1223929	  125.8120908	   95.8923958	  145.9133109	  111.4076799	  121.8668678	  130.3890726	  135.4705780	  107.6376190	   90.8745034	  114.7813745	  112.1836248	  131.6007990	  109.3553278	   88.2560072
DDB_G0267456	cbp2	NA	calcium-binding protein 2	P54653	 0.080107595929107	 0.62810591883	 2.1741019740	  2.45139519221	1.8022969027498e-06	  588.0075636	  523.6291877	  475.4975282	  576.5661190	  517.6523750	  703.9693290	  618.3424000	  482.4122027	  583.2566229	  605.8507280	  718.9180417	  699.4778932	  635.9111960	  313.4652661	  771.8682434
DDB_G0283149	cotD	DP87, SP75, sorus matrix protein	spore coat protein SP75	Q04503	-0.281196317355264	-0.06282258709	 3.5475686703	  6.48029886169	1.8022969027498e-06	   31.3680405	   28.7080685	   31.7332196	   34.7567069	   33.7634061	   54.4373065	   41.8335029	   31.3691292	   23.3094742	   46.4215264	   32.5453718	   40.7018658	   25.9267630	   32.0068406	   31.0126231
DDB_G0280051	DDB_G0280051	NA	unknown	Q54VG7	-0.595870927614068	-0.19550651446	 3.2076255349	  4.55957971338	1.8022969027498e-06	 2607.1462025	 2205.6659615	 3115.4706619	 3015.7092426	 3307.9438196	 2923.1692729	 3464.7207998	 3270.9462741	 3696.2462466	 4029.4133861	 4813.7774031	 3757.1777147	 4254.0516875	 4210.4119744	 3594.8706867
DDB_G0290961	trafD	DG17, zfaA, DdTRAFd	TNF receptor-associated factor D	P11467	-0.049501348573636	-0.11151025088	 3.5777079225	  3.40762680739	1.8022969027498e-06	   41.6555478	   37.0879112	   36.7359513	   34.8487637	   42.2348805	   38.7629706	   29.9419847	   39.9803628	   39.2687427	   50.3522537	   46.7212935	   41.1920296	   56.3196354	   43.3005142	   44.1807219
DDB_G0276267	gpaB	Ga2, Galpha2, gpa2, guanine nucleotide-binding protein alpha-2 subunit	G-protein subunit alpha 2	P16051	 0.549174374526340	 1.40062652147	 2.1791421105	  1.99437348363	1.8022969027498e-06	  161.1367505	  158.5993366	  172.5268168	  165.4074788	  180.6269591	  198.5882514	  185.6740330	  173.4525358	  172.1070842	  213.4074253	  196.4573579	  200.2172172	  197.9062682	  223.9100514	  208.2229193
DDB_G0279411	ctsD	catD, cln10, Ddp44	cathepsin D	O76856	-0.098707050331769	-0.03502540598	-0.7531360549	 -1.11485631720	1.8022969027498e-06	   66.9810962	   60.8435486	   65.7911281	   65.2621171	   72.5364041	  103.7931548	   79.2843594	   75.0759956	   63.8824743	  124.8238549	  120.3591322	  103.9039705	  127.5408538	  117.4351604	  111.7870788
DDB_G0269040	DDB_G0269040	NA	IPT/TIG domain-containing protein, EGF-like domain-containing protein, C-type lectin domain-containing protein	Q55F41	-3.148484943494422	-3.41394285229	-3.3275487931	 -3.01120836909	2.04599457778129e-06	   80.4515968	   61.1149838	   56.1748796	   73.7640913	   74.5046995	   76.6911607	   81.0522347	   82.7153438	  100.7909832	   75.5254392	   82.1845949	   92.1955423	   75.1555707	  100.5431026	   82.4014387
DDB_G0280307	DDB_G0280307	NA	beta-lactamase family protein	Q54VJ1	 0.308920211964367	 0.20611859874	 4.2812577586	  4.74453045792	2.21193415208576e-06	   77.9449382	   81.2033318	   76.4785013	   77.4125768	   78.0548107	   76.2167644	   80.7248683	   80.7096193	   85.4146064	   81.7669785	   91.5209931	   78.0698808	   85.6130053	   62.2513162	   74.0398205
DDB_G0295761	nle1	NA	WD40 repeat-containing protein, NLE domain-containing protein, putative notchless	C7FZX3	 0.029795038547501	-0.25134469653	-2.2992826478	 -2.31512834745	2.43088160622931e-06	   35.8613035	   25.4416458	   49.6894926	   16.1285107	   17.9426387	   19.1217868	   11.0345483	   12.0852719	   11.9817627	   26.1860302	   19.4341066	   19.8385213	   68.9956508	   29.7804636	   38.1387903
DDB_G0291181	DDB_G0291181	NA	NA	Q54F06	-0.053484346928098	 0.42529830292	 2.6853498475	  3.02411385178	2.43088160622931e-06	   74.9956753	   84.2252499	   78.5915221	   83.6376503	   85.8594302	   81.1570374	   84.2892386	   91.9289030	   96.2155614	   99.4610587	  105.7881193	   97.1327733	  111.3713879	  124.8562502	  107.6285871
DDB_G0271074	DDB_G0271074	NA	unknown	Q55BW8	-0.299113179120458	-0.02116336904	-0.5305782484	  4.36937098996	2.61159009187655e-06	 1912.2168203	 1836.7616459	 1896.3295627	 1652.5485821	 1886.7079274	 1779.5245862	 1798.8248614	 1864.1278745	 1799.0890603	 1071.7425144	 1195.4332835	 1055.0555768	  864.0866200	  891.3480198	  903.5573912
DDB_G0277827	cafA	CAF-1, caf1, quit2	calfumirin-1	P54670	 0.025575267031139	 0.68401830013	 1.5572227409	  1.58848793652	2.61159009187655e-06	   44.5324984	   38.4303145	   51.6954198	   45.9381646	   47.2545399	   49.0661078	   39.2405454	   51.3987586	   51.2674567	   43.0498116	   54.6961354	   47.7222662	   55.0884913	   54.7992857	   46.2575290
DDB_G0283609	cbpG	CBP7	calcium-binding protein	Q54QT8	 0.326966795013337	 2.97132884985	 6.4559253173	  7.09204370748	2.80891671779636e-06	 4188.5914101	 3957.1161564	 4087.2567058	 3744.9882313	 3951.9970646	 3506.8582470	 3625.1674702	 3747.4999314	 3597.3246430	 3627.7012246	 3352.3429873	 3334.7713672	 3006.9022117	 3257.9295493	 3460.4919239
DDB_G0275689	abcG2	mdrA1, mdrA	ABC transporter G family protein	Q9NGP5	-0.209487012445831	 1.22595739055	 1.8367065528	  1.48022482754	3.04809654389214e-06	    2.5481028	    1.9521991	    2.3734582	   28.9293711	   23.1418787	   49.1994406	   20.9034139	   34.3270395	   36.0478326	   14.8517771	   36.2486487	    1.7744604	   30.9158827	   27.8845088	   11.3105015
DDB_G0276969	D2B	putative carboxylesterase	type-B carboxylesterase/lipase family protein D2B	Q86L18	 0.146196814057072	 1.19749685860	 3.0772731485	  3.15133776376	3.27445133561424e-06	 1075.9712956	 1071.4965284	 1155.0037222	 1199.4366743	 1134.2752552	 1438.6723047	 1273.0014564	 1296.8309329	 1452.1799386	 1182.8989725	 1205.4108327	 1365.9993438	  706.9128391	 1133.6982700	 1111.1671478
DDB_G0270088	DDB_G0270088	NA	NA	Q55CE9	 0.769915493970850	 1.13959279210	 2.2733910741	  2.33216424622	4.31624420533436e-06	  413.4181665	  405.2546003	  369.2146218	  330.9868690	  495.8980436	  503.1010158	  507.6196130	  564.9716844	  468.3855309	  476.2215124	  453.9696068	  572.3600078	  460.2472912	  789.6920689	  831.6142696
DDB_G0287663	DDB_G0287663	NA	NA	Q54K41	 0.313060799917830	 0.31045822302	 1.1512761601	  1.29740657527	4.42207551454485e-06	   27.1811952	   39.9625403	   11.2020288	   42.7949960	   45.4356041	   32.3491030	   59.0462653	   54.1391824	   33.1119240	  481.1663908	  428.6242876	  303.1856053	  621.9973445	  434.3096188	  398.3903524
DDB_G0273533	carA-2	carA, carA2, cAR1, G-protein-coupled receptor	cAMP receptor 1	P13773	 3.253491709090671	 4.25161339826	 5.2461008052	  4.36158317839	4.42207551454485e-06	   78.8692740	   91.3463223	   83.8688733	   90.7611847	   83.9507133	   80.1853273	  104.9908383	   99.3605655	  102.6854491	   77.8687846	  105.6434375	   98.2700483	   71.0949554	   79.3090254	   76.6547368
DDB_G0280047	yelA	DG1014	initiation factor eIF-4 gamma middle domain-containing protein	Q23925	 0.120926622125373	 0.54410200954	 4.4738780954	  4.77250987508	4.49783278539484e-06	  794.5983051	  822.5025525	  861.4768951	  873.3617492	  873.1666945	  892.9500595	  883.5570911	  826.2788315	  817.0258761	  994.0089731	  924.0908292	  915.2186594	  924.6813087	 1030.3978134	  938.0759498
DDB_G0285845	phdA	DG1093	PH domain-containing protein	O76765	-0.323348049727129	 0.65954691090	 4.7461474299	  4.53004425342	4.49783278539484e-06	  866.9880318	  738.3200976	  624.2653650	  684.6252958	  660.8447215	  834.4107647	  750.4505441	  677.0049683	  660.1059676	  799.4151904	  892.8139229	  843.4584736	  815.8018539	  876.1947311	  787.3923273
DDB_G0279713	aplK	saposin-like protein K	amoebapore-like protein K	Q54WE0	 0.248694531768871	-0.37146970337	 3.7344056287	  5.46774789024	5.50735960436025e-06	  916.4381228	  882.4294478	  809.4654499	  986.9638094	  930.9339663	 1085.4917063	 1198.0816300	 1006.2009096	  982.3091385	 1233.8566795	 1108.2249615	 1069.0027836	 1068.4121779	 1237.6411586	 1157.3556627
DDB_G0275161	DDB_G0275161	NA	unknown	Q86I43	 2.341211951638668	 3.11647429339	 3.0442542615	  2.77342187908	5.52519409437877e-06	  815.4512146	  859.3781929	  699.0902511	  868.9989165	  761.5879767	  867.0066380	  886.4272518	  887.2683399	  942.2411354	  954.9849118	  842.8042961	  919.9911286	  876.3988655	  988.7350004	  955.2771409
DDB_G0278341	DDB_G0278341	NA	putative ATP citrate synthase, putative ATP citrate lyase	Q54YA2	-0.192006057014468	-0.53568003776	-0.9787314695	 -1.25109778822	5.61828952332479e-06	  619.4586581	  600.5818464	  609.8632898	  631.9123183	  662.9172930	  658.5687122	  711.4629575	  645.2129349	  685.8083695	  789.1713966	  739.5558917	  699.4252622	  757.2152035	  856.7028253	  737.1533380
DDB_G0280565	DDB_G0280565	NA	calponin homology (CH) domain-containing protein	Q54V78	-0.125213441603500	-0.07375382402	 3.8444757586	  4.15799244912	5.71257885703708e-06	  832.7226086	  773.1388690	  910.8252289	  815.8865773	  936.6254317	  940.1894479	  850.9197608	  837.7645081	  916.5995403	  923.9880024	  883.4662889	  891.3941360	  791.3176352	  840.1553992	  871.8416087
DDB_G0288677	cdk5	crp, crpA	cyclin-dependent kinase 5	P34117	 0.104593534214906	 0.41824766401	 1.4814154643	  1.71150340623	5.71257885703708e-06	  473.9799420	  477.6198440	  447.5657997	  503.7588990	  499.5117935	  543.4041730	  518.2299616	  496.7325675	  505.8384748	  416.3471176	  419.7065782	  434.9284149	  240.9076824	  345.1114442	  332.5216564
DDB_G0273105	scdB-1	scd2, des9-1, SCD, des9, stearoyl-CoA 9-desaturase	delta 9 fatty acid desaturase ScdB	Q556T4	 0.033055402118911	-0.53563932052	-2.6238690465	 -3.38640288802	6.04812459298568e-06	   28.6227056	   28.1223307	   32.6004138	   34.2188201	   39.5185744	   39.6493152	   47.7334156	   39.7216896	   34.2747714	   57.0553654	   56.1669449	   44.1578828	   51.8190029	   51.3390391	   47.6341298
DDB_G0292188	DDB_G0292188	NA	unknown	Q54DL7	 1.379699468909109	 2.12199439623	 1.3989751009	  1.28279572787	6.3490246902985e-06	    3.1915814	    2.7989680	    2.0959347	    1.9799861	    2.5394162	    2.4382598	   14.1426601	    2.6451089	    1.9106934	  174.4738284	  158.7319477	  108.5465572	  299.7473590	  166.8713000	  189.6739941
DDB_G0283317	tgrI2	NA	IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein	Q54R85	-0.286422242209631	 0.08053369255	 3.0829434259	  2.90103649791	7.02651589790996e-06	 9192.1999782	 9529.4201226	 8735.7410555	 9182.8272999	 8706.4925908	 7467.9998594	 8609.4160085	 8919.9249411	 9203.0157908	 7550.0717013	 7395.8592687	 8942.4655614	 7356.3149453	 8574.8985446	 8317.3168754
DDB_G0269410	DDB_G0269410	NA	pyrroline-5-carboxylate reductase, PCA reductase	Q55E34	-3.654162270644435	-4.09245169964	-4.1825351093	 -4.02465773288	7.27364751822123e-06	 1106.6139734	 1106.6732632	 1152.7422566	 1125.1298960	 1283.2454128	 1090.7130238	  977.1249043	 1040.1623826	 1173.3208888	 1142.0238587	 1349.6091283	 1196.0798132	 1337.4589320	 1281.4746311	 1252.4606191
DDB_G0269048	DDB_G0269048	NA	NA	Q55F29	-0.240303599752566	-0.43648070007	-1.0125997241	 -1.27991208347	7.27364751822123e-06	 5198.0747044	 6426.6576844	 5727.3864906	 5581.3419425	 5826.8205215	 5826.4684288	 6500.0779550	 5754.0096761	 5823.5951697	 5823.7008705	 5333.6318917	 6602.8138015	 6466.8044609	 7733.0054770	 8065.2053777
DDB_G0283813	hmgL	HMGCL	hydroxymethylglutaryl-CoA lyase	Q54QI7	 0.171915529999209	 0.80564097941	 1.4244074859	  1.39795534632	7.5556173953318e-06	33492.6141409	32434.7208324	27814.1249899	27988.6412416	30013.3586922	26966.5476009	34036.5977734	27493.6916286	27035.9357720	32892.8741621	29388.1862532	29589.9427433	29120.0844201	34890.5395150	28951.4687803
DDB_G0275439	cad2	DdCAD2	putative adhesion molecule	O97113	-0.214492583402998	 0.65678890059	 5.7780422087	  6.28828923500	7.5556173953318e-06	  804.2024932	  756.3288398	  554.5359343	  752.0946518	  723.8313132	  670.6697089	 1159.4554130	  680.4321546	  709.9464260	 1281.3220022	 1071.8008632	 1100.7597753	 1056.7570680	 1088.5619215	 1176.6258567
DDB_G0279681	DDB_G0279681	NA	calcium-binding EF-hand domain-containing protein	Q1ZXH5	 0.086659786411935	 0.60507383205	 2.4037856920	  2.47024852752	7.5556173953318e-06	  254.1118038	  217.8581959	  246.9163527	  220.5747684	  229.8441727	  265.4149045	  283.2599450	  239.7463343	  246.5069754	  390.0140962	  327.1045557	  325.3752680	  345.8819383	  408.4531335	  348.4688526
DDB_G0283335	tgrI1	NA	IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein	Q54R96	 0.263839428240994	 0.00472957209	 3.3122359701	  3.61293265438	7.5556173953318e-06	    1.9158768	    2.2746278	    1.9802639	    2.4065994	    1.7586868	    2.7271269	    2.3535976	   22.0840112	    2.6113032	   42.1225969	   32.1216190	   44.1552335	  108.2345596	   62.9923044	   78.1052204
DDB_G0289541	vasP	VASP	vasodilator-stimulated phosphoprotein	Q5TJ65	 0.233210645523107	 0.40814547008	 1.0660647998	  1.33631479271	7.5556173953318e-06	    2.3379025	    1.9478457	    2.1044742	    2.7657972	    2.0732770	    3.0649069	    1.6837974	    2.1002888	    3.1184232	  165.4145126	  122.5211177	  117.0853522	  286.8795637	  199.0263203	  177.6601203
