PG.Pvalue;PG.Qvalue;PG.Cscore;PG.MolecularWeight;PG.ProteinGroups;PG.ProteinAccessions;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.NrOfStrippedSequencesMeasured;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.NrOfStrippedSequencesMeasured;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.NrOfStrippedSequencesMeasured;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.NrOfStrippedSequencesMeasured;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.NrOfModifiedSequencesMeasured;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.NrOfModifiedSequencesMeasured;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.NrOfModifiedSequencesMeasured;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.NrOfModifiedSequencesMeasured;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.Quantity;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.Quantity;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.Quantity;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.Quantity;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.Quantity;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.Quantity;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.Quantity;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.Quantity;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.Quantity;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.Quantity;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.Quantity;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.Quantity;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.MS2Quantity;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.MS2Quantity;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.MS2Quantity;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.MS2Quantity;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.MS2Quantity;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.MS2Quantity;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.MS2Quantity;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.MS2Quantity;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.MS2Quantity;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.MS2Quantity;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.MS2Quantity;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.MS2Quantity;[1] DIA_BKelly_Dictost_Dev8h_biorep1.htrms.PG.IBAQ;[2] DIA_BKelly_Dictost_Dev8h_biorep2.htrms.PG.IBAQ;[3] DIA_BKelly_Dictost_Dev8h_biorep3.htrms.PG.IBAQ;[4] DIA_BKelly_Dictost_Dev30min_biorep1.htrms.PG.IBAQ;[5] DIA_BKelly_Dictost_Dev30min_biorep2.htrms.PG.IBAQ;[6] DIA_BKelly_Dictost_Dev30min_biorep3.htrms.PG.IBAQ;[7] DIA_BKelly_Dictost_Veg8h_biorep1.htrms.PG.IBAQ;[8] DIA_BKelly_Dictost_Veg8h_biorep2.htrms.PG.IBAQ;[9] DIA_BKelly_Dictost_Veg8h_biorep3.htrms.PG.IBAQ;[10] DIA_BKelly_Dictost_Veg30min_biorep1.htrms.PG.IBAQ;[11] DIA_BKelly_Dictost_Veg30min_biorep2.htrms.PG.IBAQ;[12] DIA_BKelly_Dictost_Veg30min_biorep2_180703073041.htrms.PG.IBAQ
0.000482601;0.000173541;1.043628;NaN;B0G0Z7;B0G0Z7;25;25;25;25;25;25;25;25;25;25;25;25;28;28;28;28;28;28;28;28;28;28;28;28;514112.1875;502204.9688;626533.875;667260.25;725440.625;531089.75;575547.6875;444579.0313;773645.625;798085.4375;421945.4063;343212.8125;514112.1875;502204.9688;626533.875;667260.25;725440.625;531089.75;575547.6875;444579.0313;773645.625;798085.4375;421945.4063;343212.8125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000832216;0.000173541;1.032389;NaN;B0G102;B0G102;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;385506.4063;319985.9688;285496.0938;516945.1563;514003.875;505780.3125;525288.1875;511814;563091.75;552265.6875;492570.5625;460500.0313;385506.4063;319985.9688;285496.0938;516945.1563;514003.875;505780.3125;525288.1875;511814;563091.75;552265.6875;492570.5625;460500.0313;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000725696;0.000173541;1.035259;NaN;B0G104;B0G104;8;8;8;8;8;8;8;8;8;8;8;8;11;11;11;11;11;11;11;11;11;11;11;11;124161.0703;117203.5859;167086.3438;151984.1875;139195.75;257905.5781;179883.2031;227112.1719;231116.7031;118732.2656;108989.1406;156455.2344;124161.0703;117203.5859;167086.3438;151984.1875;139195.75;257905.5781;179883.2031;227112.1719;231116.7031;118732.2656;108989.1406;156455.2344;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001179284;0.000175732;1.024941;NaN;B0G106;B0G106;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;1025173.625;875767.5625;930028.25;803132.0625;1090123.125;860707.9375;955388.75;1123317;914599.6875;1239622.625;1110420.125;850727.1875;1025173.625;875767.5625;930028.25;803132.0625;1090123.125;860707.9375;955388.75;1123317;914599.6875;1239622.625;1110420.125;850727.1875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001747615;0.000205743;1.016268;NaN;B0G107;B0G107;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;79671.59375;55793.00781;97923.88281;84378.20313;76546.29688;82637.83594;72508.28125;86615.88281;77251.39063;82691.16406;86429.41406;84971.75;79671.59375;55793.00781;97923.88281;84378.20313;76546.29688;82637.83594;72508.28125;86615.88281;77251.39063;82691.16406;86429.41406;84971.75;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.002169972;0.000234017;1.011363;"NaN;NaN";"B0G108;Q554H6";"B0G108;Q554H6";3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;331353.4688;349064.2188;543818.0625;1019684.125;1698608.75;857122;1024556.563;938198.0625;682480.3125;1490887.25;846426.25;1567501.75;331353.4688;349064.2188;543818.0625;1019684.125;1698608.75;857122;1024556.563;938198.0625;682480.3125;1490887.25;846426.25;1567501.75;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.007620069;0.000646391;0.9807134;NaN;B0G109;B0G109;Filtered;Filtered;Filtered;3;3;3;3;3;3;3;Filtered;3;Filtered;Filtered;Filtered;3;3;3;3;3;3;3;Filtered;3;Filtered;Filtered;Filtered;58208.90625;49832.99219;59052.48047;121315.125;97578.42969;112145;46728.88281;Filtered;42500.64063;Filtered;Filtered;Filtered;58208.90625;49832.99219;59052.48047;121315.125;97578.42969;112145;46728.88281;Filtered;42500.64063;Filtered;Filtered;Filtered;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Filtered;NaN
0.010855753;0.000884871;0.9712642;NaN;B0G111;B0G111;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;32172.92383;41841.66406;55928.22656;10965.54492;14151.68262;15666.24023;18140.54102;17258.71875;19280.71094;47956.41406;307851.6875;8672.085938;32172.92383;41841.66406;55928.22656;10965.54492;14151.68262;15666.24023;18140.54102;17258.71875;19280.71094;47956.41406;307851.6875;8672.085938;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.003923592;0.000366847;0.9974134;NaN;B0G112;B0G112;26;26;26;26;26;26;26;26;26;26;26;26;27;27;27;27;27;27;27;27;27;27;27;27;92736.08594;76018.71875;74799.07031;173376.2969;182241.3906;168739.5469;192571.2188;156592.8594;177778.1094;229279.6406;205926.8125;191124.7344;92736.08594;76018.71875;74799.07031;173376.2969;182241.3906;168739.5469;192571.2188;156592.8594;177778.1094;229279.6406;205926.8125;191124.7344;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000585241;0.000173541;1.039705;NaN;B0G117;B0G117;32;32;32;32;32;32;32;32;32;32;32;32;37;37;37;37;37;37;37;37;37;37;37;37;390502.2813;363384.875;277469.4375;519928.625;604803.375;479867.0313;576434.1875;408258.25;519503.5;650686.6875;616234.625;546907.4375;390502.2813;363384.875;277469.4375;519928.625;604803.375;479867.0313;576434.1875;408258.25;519503.5;650686.6875;616234.625;546907.4375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.002276443;0.000241882;1.010265;NaN;B0G118;B0G118;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;82583.71875;36808.02344;37057;84261.23438;54539.22656;141086.3438;121343.4844;71911.48438;82954.875;49831.125;49045.07813;40478.77344;82583.71875;36808.02344;37057;84261.23438;54539.22656;141086.3438;121343.4844;71911.48438;82954.875;49831.125;49045.07813;40478.77344;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001426211;0.000185627;1.020786;NaN;B0G119;B0G119;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;295499.875;357012.4063;312077.3125;257093.7813;496248.25;298199.5;424693.3438;274385.875;189128.875;612903.1875;417336.7188;292793.3438;295499.875;357012.4063;312077.3125;257093.7813;496248.25;298199.5;424693.3438;274385.875;189128.875;612903.1875;417336.7188;292793.3438;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.001311657;0.00018136;1.022624;NaN;B0G120;B0G120;12;12;12;12;12;12;12;12;12;12;12;12;14;14;14;14;14;14;14;14;14;14;14;14;246838.2813;347031.625;384932.1563;248847.0938;206338.5938;252367.5625;246081.6719;290894.3438;239401.1719;256756.5625;300265;273526.0938;246838.2813;347031.625;384932.1563;248847.0938;206338.5938;252367.5625;246081.6719;290894.3438;239401.1719;256756.5625;300265;273526.0938;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.01413148;0.001120939;0.9639378;NaN;B0G121;B0G121;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;79346.40625;72241.55469;65648.20313;65192.53906;70219.08594;52454.99219;55455.20313;125944.1563;81906.85938;94915.39063;70463.39063;48379.27734;79346.40625;72241.55469;65648.20313;65192.53906;70219.08594;52454.99219;55455.20313;125944.1563;81906.85938;94915.39063;70463.39063;48379.27734;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.002948388;0.00029238;1.004245;NaN;B0G124;B0G124;8;8;8;8;8;8;8;8;8;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;62814.67578;56925.89063;59924.72656;65071.22266;67656.85938;62537.12109;66517.09375;83953.17188;60980.11328;90710.21094;62620.66797;83843.14063;62814.67578;56925.89063;59924.72656;65071.22266;67656.85938;62537.12109;66517.09375;83953.17188;60980.11328;90710.21094;62620.66797;83843.14063;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.004712748;0.000429319;0.9929242;NaN;B0G126;B0G126;Filtered;2;2;2;2;2;2;Filtered;2;2;Filtered;2;Filtered;2;2;2;2;2;2;Filtered;2;2;Filtered;2;Filtered;30203.42383;25283.59766;26688.44336;30471.62695;25698.30664;20995.82227;Filtered;19750.20508;28399.05859;Filtered;24521.66797;Filtered;30203.42383;25283.59766;26688.44336;30471.62695;25698.30664;20995.82227;Filtered;19750.20508;28399.05859;Filtered;24521.66797;Filtered;NaN;NaN;NaN;NaN;NaN;NaN;Filtered;NaN;NaN;Filtered;NaN
0.000706603;0.000173541;1.035814;NaN;B0G127;B0G127;42;42;42;42;42;42;42;42;42;42;42;42;44;44;44;44;44;44;44;44;44;44;44;44;151075.7188;163825.4375;163031.9844;201104.1094;212655.5313;162277.4531;154969.4375;148599.0781;146555.9688;179603.2969;227389.1719;250362.5625;151075.7188;163825.4375;163031.9844;201104.1094;212655.5313;162277.4531;154969.4375;148599.0781;146555.9688;179603.2969;227389.1719;250362.5625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000322028;0.000173541;1.051683;NaN;B0G128;B0G128;20;20;20;20;20;20;20;20;20;20;20;20;28;28;28;28;28;28;28;28;28;28;28;28;677651;622092.625;613917.25;455935.6563;548067.25;406442.8125;476878.2188;493460.1563;475184.5625;590881.9375;547554.875;433330.7188;677651;622092.625;613917.25;455935.6563;548067.25;406442.8125;476878.2188;493460.1563;475184.5625;590881.9375;547554.875;433330.7188;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.002154029;0.000232674;1.011532;NaN;B0G130;B0G130;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;27949.91992;34539.27344;36606.73828;31759.05078;34328.79297;32708.70508;43607.31641;42429.53516;36240.9375;25208.18555;56832.85938;38626.48828;27949.91992;34539.27344;36606.73828;31759.05078;34328.79297;32708.70508;43607.31641;42429.53516;36240.9375;25208.18555;56832.85938;38626.48828;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
0.000998645;0.000173541;1.02852;NaN;B0G131;B0G131;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;219609.1563;287589.375;252042.4375;150846.8438;167986.5156;159071.7969;135738.2656;139300.4688;122797.3125;203362.3281;153142.8281;129298.125;219609.1563;287589.375;252042.4375;150846.8438;167986.5156;159071.7969;135738.2656;139300.4688;122797.3125;203362.3281;153142.8281;129298.125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
